ward_no,Areaname,latitude,longitude
2,West Ridge,41.873968788,-87.625987769
2,West Ridge,41.867608211,-87.680298775
2,West Ridge,41.873807522,-87.69445629
2,West Ridge,41.878918773,-87.665293577
2,West Ridge,41.8763156,-87.669271624
2,West Ridge,41.876672314,-87.624279904
2,West Ridge,41.876227971,-87.674545335
2,West Ridge,41.882104019,-87.684778173
2,West Ridge,,
2,West Ridge,41.877252943,-87.696188173
2,West Ridge,41.878962554,-87.688801432
2,West Ridge,41.877566421,-87.684537643
2,West Ridge,41.866810739,-87.625817031
2,West Ridge,,
2,West Ridge,41.866996231,-87.62741936
2,West Ridge,41.87607005,-87.686836675
2,West Ridge,41.86821682,-87.6304532
2,West Ridge,41.866810739,-87.625817031
2,West Ridge,41.867430279,-87.626155308
2,West Ridge,41.882839503,-87.702019291
2,West Ridge,41.874077392,-87.674225948
2,West Ridge,41.878260207,-87.625448401
2,West Ridge,41.874086805,-87.62599014
2,West Ridge,41.86304084,-87.666288555
2,West Ridge,41.877469064,-87.648395724
2,West Ridge,41.88007433,-87.642602726
2,West Ridge,41.845298749,-87.623628162
2,West Ridge,41.877517962,-87.689091344
2,West Ridge,,
2,West Ridge,41.875155116,-87.667906709
2,West Ridge,41.87498322,-87.685356878
2,West Ridge,41.870203592,-87.629546598
2,West Ridge,41.880804078,-87.683954072
2,West Ridge,41.876121224,-87.641003973
2,West Ridge,41.876108306,-87.684860827
2,West Ridge,41.879285729,-87.641524294
2,West Ridge,41.880002373,-87.641134667
2,West Ridge,41.878222138,-87.627288482
2,West Ridge,41.877565108,-87.68479102
2,West Ridge,41.853930752,-87.623841071
2,West Ridge,41.853930752,-87.623841071
2,West Ridge,41.879734548,-87.644056852
2,West Ridge,41.877822179,-87.655181405
2,West Ridge,41.883937538,-87.683386186
2,West Ridge,41.862218265,-87.639087164
2,West Ridge,41.866387467,-87.653885141
2,West Ridge,41.872578827,-87.627548862
2,West Ridge,41.861129306,-87.625681432
2,West Ridge,41.861626117,-87.625697981
2,West Ridge,41.880054533,-87.641137777
2,West Ridge,41.862218265,-87.639087164
2,West Ridge,41.847837893,-87.616670684
2,West Ridge,41.875679322,-87.62657476
2,West Ridge,41.876285248,-87.626039335
2,West Ridge,41.871074849,-87.694564277
2,West Ridge,41.881928422,-87.702520334
2,West Ridge,41.88188642,-87.639109317
2,West Ridge,41.878227412,-87.626807395
2,West Ridge,41.872709056,-87.624187857
2,West Ridge,41.871074849,-87.694564277
2,West Ridge,41.866810739,-87.625817031
2,West Ridge,41.875254895,-87.627618559
2,West Ridge,41.876612469,-87.651096366
2,West Ridge,41.855190551,-87.623871195
2,West Ridge,41.877822179,-87.655181405
2,West Ridge,41.876909148,-87.628426538
2,West Ridge,41.868812123,-87.676306675
2,West Ridge,41.866161043,-87.655506578
2,West Ridge,41.875155116,-87.667906709
2,West Ridge,41.881524451,-87.662706932
2,West Ridge,41.874133594,-87.670164416
2,West Ridge,41.879422743,-87.682811361
2,West Ridge,41.862906101,-87.656858884
2,West Ridge,41.868165405,-87.62743954
2,West Ridge,41.867785715,-87.660185117
2,West Ridge,41.87683815,-87.634320718
2,West Ridge,41.878224322,-87.686355964
2,West Ridge,41.867251542,-87.639594427
2,West Ridge,41.873875151,-87.687413227
2,West Ridge,41.868498371,-87.664737551
2,West Ridge,41.880555964,-87.64192187
2,West Ridge,41.882833894,-87.702496739
2,West Ridge,41.867013845,-87.625822134
2,West Ridge,41.877565813,-87.684915859
2,West Ridge,41.857907862,-87.621734113
2,West Ridge,41.882134423,-87.682875662
2,West Ridge,41.878123916,-87.633208786
2,West Ridge,41.868829064,-87.67018253
2,West Ridge,41.857519075,-87.622322079
2,West Ridge,41.857582212,-87.622325051
2,West Ridge,41.871371147,-87.627514417
2,West Ridge,41.857582212,-87.622325051
2,West Ridge,41.875370659,-87.669112502
2,West Ridge,41.866331725,-87.666379171
2,West Ridge,41.868541914,-87.639235361
2,West Ridge,41.879239271,-87.697582179
2,West Ridge,41.86821682,-87.6304532
2,West Ridge,41.883129446,-87.677849255
2,West Ridge,41.881152628,-87.687365645
2,West Ridge,41.846859523,-87.617323885
2,West Ridge,,
2,West Ridge,41.883129446,-87.677849255
2,West Ridge,41.834273532,-87.619397991
2,West Ridge,41.88222113,-87.677373807
2,West Ridge,41.881944424,-87.634195294
2,West Ridge,41.880155941,-87.697103065
2,West Ridge,41.87098268,-87.624148194
2,West Ridge,41.873968788,-87.625987769
2,West Ridge,41.881391643,-87.686437851
2,West Ridge,41.837822981,-87.61825397
2,West Ridge,41.876540576,-87.624277688
2,West Ridge,41.866996231,-87.62741936
2,West Ridge,41.845603793,-87.625922282
2,West Ridge,41.870389764,-87.625902397
2,West Ridge,41.881982229,-87.697349346
2,West Ridge,41.877123485,-87.683855474
2,West Ridge,41.880218177,-87.690048344
2,West Ridge,41.876491796,-87.639656065
2,West Ridge,41.874606771,-87.688683639
2,West Ridge,41.864274935,-87.660034714
2,West Ridge,41.864274935,-87.660034714
2,West Ridge,41.874086805,-87.62599014
2,West Ridge,41.879621567,-87.696249102
2,West Ridge,41.863642218,-87.627331436
2,West Ridge,41.867381929,-87.629900627
2,West Ridge,41.881693864,-87.652323905
2,West Ridge,,
2,West Ridge,41.868165405,-87.62743954
2,West Ridge,41.8703325,-87.640820449
2,West Ridge,41.874961458,-87.680062366
2,West Ridge,41.877565398,-87.684842425
2,West Ridge,41.867430279,-87.626155308
2,West Ridge,41.880653112,-87.634396649
2,West Ridge,41.865397377,-87.640660777
2,West Ridge,41.866644572,-87.666379591
2,West Ridge,41.852450058,-87.622260765
2,West Ridge,,
2,West Ridge,41.87698903,-87.625352272
2,West Ridge,41.854271714,-87.624839379
2,West Ridge,41.883595623,-87.686500083
2,West Ridge,41.876744768,-87.641559043
2,West Ridge,,
2,West Ridge,41.869092702,-87.677383212
2,West Ridge,41.871811902,-87.627340674
2,West Ridge,41.863276227,-87.642053002
2,West Ridge,41.877762044,-87.633719466
2,West Ridge,41.87196373,-87.696989716
2,West Ridge,41.880815236,-87.697225049
2,West Ridge,41.865332001,-87.624104181
2,West Ridge,41.881441785,-87.667837814
2,West Ridge,41.878115609,-87.634097494
2,West Ridge,,
2,West Ridge,41.866843414,-87.669913016
2,West Ridge,41.877600872,-87.635193673
2,West Ridge,41.882217488,-87.677696999
2,West Ridge,41.878254507,-87.68635566
2,West Ridge,41.873807522,-87.69445629
2,West Ridge,41.866810739,-87.625817031
2,West Ridge,41.864493678,-87.639158
2,West Ridge,41.881152628,-87.687365645
2,West Ridge,41.866908256,-87.662180514
2,West Ridge,41.882407184,-87.686468002
2,West Ridge,41.881441785,-87.667837814
2,West Ridge,41.882947966,-87.691879124
2,West Ridge,41.874878486,-87.642438368
2,West Ridge,41.88210256,-87.685005864
2,West Ridge,41.868541914,-87.639235361
2,West Ridge,41.882133861,-87.682776518
2,West Ridge,41.881307619,-87.676949835
2,West Ridge,41.867843601,-87.642209396
2,West Ridge,41.87853462,-87.687366307
2,West Ridge,41.875154958,-87.629220565
2,West Ridge,41.872507156,-87.686196995
2,West Ridge,41.870761846,-87.696017659
2,West Ridge,41.873392956,-87.640923266
2,West Ridge,41.867414944,-87.627231186
2,West Ridge,41.875367424,-87.627620993
2,West Ridge,41.864955779,-87.620958432
2,West Ridge,41.873807522,-87.69445629
2,West Ridge,41.872805058,-87.625960212
2,West Ridge,41.842041561,-87.619682305
2,West Ridge,41.877633028,-87.633713529
2,West Ridge,41.8744162,-87.638591667
2,West Ridge,41.866810739,-87.625817031
2,West Ridge,41.882837304,-87.702118463
2,West Ridge,41.861305621,-87.624012849
2,West Ridge,41.871640121,-87.696038308
2,West Ridge,41.883129446,-87.677849255
2,West Ridge,41.853930752,-87.623841071
2,West Ridge,,
2,West Ridge,41.866477566,-87.653807089
2,West Ridge,41.871371147,-87.627514417
2,West Ridge,41.879279355,-87.641832814
2,West Ridge,41.868541914,-87.639235361
2,West Ridge,41.866578077,-87.624134464
2,West Ridge,41.871371147,-87.627514417
2,West Ridge,41.88213835,-87.682600206
2,West Ridge,,
2,West Ridge,41.846801978,-87.623527134
2,West Ridge,41.878123916,-87.633208786
2,West Ridge,41.87683815,-87.634320718
2,West Ridge,41.874381838,-87.641536792
2,West Ridge,41.867081407,-87.619003708
2,West Ridge,41.879621567,-87.696249102
2,West Ridge,41.875078125,-87.629221408
2,West Ridge,41.87605811,-87.641004654
2,West Ridge,41.880521497,-87.644863603
2,West Ridge,41.875234703,-87.639618253
2,West Ridge,41.855190551,-87.623871195
2,West Ridge,41.87766908,-87.629284766
2,West Ridge,41.877618019,-87.680567743
2,West Ridge,41.866810739,-87.625817031
2,West Ridge,41.855505367,-87.622858279
2,West Ridge,41.877244215,-87.681430778
2,West Ridge,,
2,West Ridge,41.864192977,-87.665267005
2,West Ridge,41.868654042,-87.632394269
2,West Ridge,41.875078125,-87.629221408
2,West Ridge,41.86152316,-87.662031253
2,West Ridge,41.868541914,-87.639235361
2,West Ridge,41.875367424,-87.627620993
2,West Ridge,41.868541914,-87.639235361
2,West Ridge,41.872658427,-87.627551658
2,West Ridge,41.872206708,-87.6308611
2,West Ridge,41.873758083,-87.699898286
2,West Ridge,41.881932256,-87.702219176
2,West Ridge,41.868541914,-87.639235361
2,West Ridge,41.868541914,-87.639235361
2,West Ridge,41.880002373,-87.641134667
2,West Ridge,41.871075543,-87.694689104
2,West Ridge,,
2,West Ridge,41.862132355,-87.666264958
2,West Ridge,41.861335178,-87.625690175
2,West Ridge,,
2,West Ridge,41.877244215,-87.681430778
2,West Ridge,41.872746809,-87.632573526
2,West Ridge,41.884268781,-87.682758532
2,West Ridge,41.832151285,-87.620573749
2,West Ridge,41.864304949,-87.640624844
2,West Ridge,41.871556324,-87.624163883
2,West Ridge,41.872946542,-87.689669647
2,West Ridge,41.871811902,-87.627340674
2,West Ridge,41.879902294,-87.683173705
2,West Ridge,41.874022688,-87.643875892
2,West Ridge,41.880131389,-87.641140619
2,West Ridge,41.857371774,-87.619368728
2,West Ridge,41.869047845,-87.624125523
2,West Ridge,41.841622217,-87.617562101
2,West Ridge,41.884268781,-87.682758532
2,West Ridge,41.874606884,-87.689682362
2,West Ridge,41.882972196,-87.689833435
2,West Ridge,41.878038501,-87.639936767
2,West Ridge,41.880228042,-87.642608414
2,West Ridge,41.86821682,-87.6304532
2,West Ridge,41.86821682,-87.6304532
2,West Ridge,41.858633393,-87.622346444
2,West Ridge,41.864102036,-87.655833034
2,West Ridge,41.868062668,-87.632621013
2,West Ridge,41.831074798,-87.620013283
2,West Ridge,41.868062668,-87.632621013
2,West Ridge,41.862132355,-87.666264958
2,West Ridge,,
2,West Ridge,41.877274235,-87.661873779
2,West Ridge,41.865425001,-87.621393773
2,West Ridge,41.879900132,-87.683276545
2,West Ridge,41.878962554,-87.688801432
2,West Ridge,41.873986481,-87.630658024
2,West Ridge,41.866937617,-87.624141504
2,West Ridge,41.874440575,-87.636726147
2,West Ridge,41.866644572,-87.666379591
2,West Ridge,,
2,West Ridge,41.850631098,-87.625448467
2,West Ridge,41.838916012,-87.623250984
2,West Ridge,41.877578503,-87.629282088
2,West Ridge,,
2,West Ridge,41.877661886,-87.627665516
2,West Ridge,41.865189511,-87.660160954
2,West Ridge,41.850657231,-87.612880723
2,West Ridge,41.881025006,-87.701420232
2,West Ridge,41.871371147,-87.627514417
2,West Ridge,41.878260207,-87.625448401
2,West Ridge,41.880653112,-87.634396649
2,West Ridge,41.883133362,-87.677573795
2,West Ridge,41.846801978,-87.623527134
2,West Ridge,,
2,West Ridge,41.877959571,-87.624313409
2,West Ridge,41.881592273,-87.636758638
2,West Ridge,41.877565688,-87.684893829
2,West Ridge,41.855190551,-87.623871195
2,West Ridge,41.878521602,-87.687491286
2,West Ridge,41.8744151,-87.627609439
2,West Ridge,41.836126824,-87.618221478
2,West Ridge,41.87628108,-87.642485683
2,West Ridge,41.876070277,-87.686877063
2,West Ridge,41.865336883,-87.625785555
2,West Ridge,41.879221655,-87.699359622
2,West Ridge,41.866988841,-87.657205006
2,West Ridge,41.841962565,-87.62598808
2,West Ridge,41.879591242,-87.642585896
2,West Ridge,41.868541914,-87.639235361
2,West Ridge,41.880154438,-87.697327077
2,West Ridge,41.878306665,-87.686358806
2,West Ridge,41.880652933,-87.634367274
2,West Ridge,41.879063427,-87.691132159
2,West Ridge,41.872966793,-87.687411358
